Age,Male,Female
15-17,10806,10816
18-19,8274,8767
20-21,8428,9876
22-24,16024,18174
25-29,34536,37783
33-34,35400,36474
35-39,31279,26467
40-44,20560,24564
45-49,19834,19343
50-54,19318,20272
55-59,18186,19376
60-61,8543,7604
62-64,10058,13980
65-66,5939,8047
67-69,8192,10212
70-74,12622,13702
75-79,7652,10008
80-84,2998,5776
85+,3195,6142
